"Customer was redirected to iDEAL. Please, check the status of a transaction via the iDEAL Dashboard before delivery of the goods purchased","Klant is doorgestuurd naar iDEAL. Controleer alstublieft de status van een transactie via het iDEAL Dashboard voordat u goederen verzend"
"Customer successfully returned from iDEAL","Klant succesvol teruggekeerd van iDEAL"
"Payment was canceled by the customer","Betaling geanulleerd door klant"
"Error occured with transaction %s","Error met transactie %s"
"Customer returned from iDEAL","Klant teruggekeerd van iDEAL"
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. Transaction number is %s","Een probleem deed zich voor tijdens de iDEAL transactie. Neem contact op met de webwinkel of probeer later opnieuw. Transactienummer: %s"
"Notification from iDEAL was recived with status %s. Invoice was created. Please, check the status of a transaction via the iDEAL Dashboard before delivery of the goods purchased","Notificatie van iDEAL is ontvangen met status %s. Factuur aangemaakt. Controleer alstublieft de status van de betaling in het iDEAL Dashboard voordat u goederen verzend"
"Notification from iDEAL was recived with status %s","Notificatie van iDEAL ontvangen met status %s"
"Secret key","Geheime sleutel"
"Secure URL (production)","Veilige URL (productie)"
"Secure URL (test mode)","Veilige URL (testmodus)"
"Test mode","Testmodus"
"Transaction description","Transactie omschrijving"
"Language","Taal"
"Dutch","Nederlands"
"English","Engels"
"Selected currency code (%s) is not compatabile with iDEAL","Geselecteerde valutacode (%s) niet compatibel met iDEAL"
"Please <a href="%s">continue shopping</a>","Ga verder met <a href="%s">winkelen</a>"
"Error occured","Een probleem deed zich voor"
"You will be redirected to website of your bank when you place an order","U wordt doorgestuurd naar de website van uw bank na het plaatsen van een bestelling"
"Please, wait a moment. This page will transfer your data to iDEAL payment gateway in a few seconds","Een ogenblik geduld a.u.b. Deze pagina stuurt u in enkele seconden door naar de iDEAL gateway"
